Frame, Avg_X, Avg_Y
170, 952.8929571718783, 634.3066277246218
171, 953.1943699763372, 634.7360014261609
172, 954.4035430554522, 635.5171664029557
173, 956.0244655249843, 635.9809721650695
174, 957.0167249435351, 636.3887525091682
175, 958.2109069824219, 636.7518824275768
176, 960.2289809211852, 637.1987399025569
177, 961.5726961793622, 637.5530029800307
178, 962.3512402514477, 637.9740963738003
179, 962.4327444223258, 638.1732871539776
180, 963.578551293871, 638.478793105034
181, 964.5640496633139, 639.1399295186422
182, 965.7208942182912, 639.7372345152762
183, 966.57155943516, 640.1643718259915
184, 967.893226863875, 640.6912285214379
185, 969.2135346633589, 641.1961152209003
186, 970.7702917709131, 641.8078505986018
187, 972.1165406188311, 642.2917527410492
188, 974.1788358115476, 642.8012256959302
189, 975.331461345999, 643.2830999837182
190, 977.0736529439149, 643.8280575026723
191, 977.9828647161646, 644.5387068924497
192, 979.6172951846421, 645.2768859551453
193, 981.480819578762, 646.0541594780359
194, 982.9270197058455, 646.7945889198757
195, 983.9564813486567, 647.5189179031564
196, 985.1848303406281, 648.2218921628943
197, 986.7911491987, 648.9293226627489
198, 988.1902700917242, 649.5969207841972
199, 988.6151148074006, 650.0974267958383
200, 989.2659109339287, 650.6921191991203
201, 989.9120201125154, 651.2818063398389
202, 990.5774731898824, 651.8131798617242
203, 991.1033785300726, 652.424642311129
204, 991.7527791811981, 652.9788211817863
205, 992.3053645811219, 653.4653093918511
206, 992.496426078929, 653.9253410490206
207, 993.1586068025242, 654.439830938786
208, 993.9939374203952, 654.9257758608404
209, 995.248170372201, 655.4478988692051
210, 996.6203913862607, 655.9194776207019
211, 997.2537982458356, 656.4195887598498
212, 998.2502472724175, 656.9126374996102
213, 998.3821176116356, 657.3455526280646
214, 998.5188797563482, 657.7537769193189
215, 998.6601510330286, 658.161360884512
216, 998.7978599455195, 658.564057996879
217, 999.1241757397084, 659.0375529133801
218, 999.6259535199765, 659.4287195721893
219, 1000.1171342597349, 659.8099506402998
220, 0, 660.0123741809941
221, 0, 660.2885006007864
222, 0, 660.5455988646816
223, 0, 660.7867983378552
224, 0, 661.0228674138016
225, 0, 661.2370779403133
226, 0, 661.4984397141744
227, 0, 661.797858320745
228, 0, 662.0349222353093
229, 0, 662.3269868688545
230, 0, 662.571649358643
231, 0, 662.8558290481567
232, 0, 663.0221621258612
233, 0, 663.3598841989776
234, 0, 663.3711955252237
235, 0, 663.6232744082808
236, 0, 663.7458271621326
237, 0, 663.8656720000189
238, 0, 663.971677838839
239, 0, 664.0690497421637
240, 0, 664.2079275967336
241, 0, 664.3448387182154
242, 0, 664.4449074223356
243, 0, 664.5784566224378
244, 0, 664.7207865668213
245, 0, 664.8020740739689
246, 0, 664.8509480408449
247, 0, 664.9576467674814
248, 0, 665.0219837929303
249, 0, 665.0934142857762
