Frame, Avg_X, Avg_Y
1, 2000, 564.2419204711914
2, 2000, 556.6629439133865
3, 2000, 559.4220199584961
4, 2000, 560.3017767544451
5, 2000, 561.2039150661892
6, 2000, 562.0216770615689
7, 2000, 560.8082161697687
8, 2000, 559.1555750528971
9, 2000, 559.8786049458517
10, 2000, 560.515379415976
11, 2000, 561.774458873121
12, 2000, 562.6188058399018
13, 2000, 563.4005392696081
14, 2000, 563.8712348126351
15, 2000, 565.34072800438
16, 2000, 566.3172051260404
17, 2000, 567.3464784622192
18, 2000, 568.2991171290732
19, 2000, 568.7535306294759
20, 2000, 569.4915915388402
21, 2000, 569.9838046119327
22, 2000, 569.8392990574692
23, 2000, 569.799824735544
24, 2000, 569.5550900565254
25, 2000, 569.2472080405241
26, 2000, 569.3942761964436
27, 2000, 569.5993898758977
28, 2000, 569.7607131318418
29, 2000, 569.9210727228594
30, 2000, 570.0702430639374
31, 2000, 570.2280534178346
32, 2000, 570.0939589155481
33, 947.5711812337239, 570.1863866561498
34, 946.0271846334732, 570.3130669285409
35, 947.5147749306499, 569.7397965878105
36, 946.8143221716366, 569.7552374897988
37, 947.4370609091842, 569.2282100311697
38, 945.5880748252698, 569.2370625312018
39, 944.9204489362291, 569.1243756556615
40, 942.8508816829567, 569.2348253634866
41, 941.9996667429178, 569.0946003248712
42, 940.0038621130068, 569.1611377936749
43, 938.0619275791925, 569.2362649276672
44, 936.1791944769749, 569.3040704005268
45, 933.6254129966409, 569.5423338181314
46, 931.9014696892891, 569.5880017462578
47, 930.244102792347, 569.6089680418094
48, 928.6470140569351, 569.6390685474171
49, 927.1097901271999, 569.6920080632509
50, 926.2294172415043, 569.5699339418445
51, 925.3848666814785, 569.4328429542198
52, 925.1764044292903, 569.1822272349212
53, 923.6899011924514, 569.2278716428623
54, 919.5026480022229, 568.5870232833059
55, 918.1205981366046, 568.6377911753468
56, 916.8750313950803, 568.678638299814
57, 913.3559304237366, 567.9271862506866
58, 909.8558739036139, 567.2257252792639
59, 906.1921932531627, 566.668035685836
60, 902.6348298390707, 566.1205117361886
61, 899.4749990541335, 565.4752982959412
62, 898.9746580620033, 565.475265767533
63, 895.6577298851774, 564.952553556176
64, 892.42018384612, 564.4370404361339
65, 891.1761314795874, 564.5971586179601
66, 889.9466987736317, 564.7532574985568
67, 888.940596200078, 564.8769585030977
68, 887.7336835163395, 565.0264058513693
69, 886.5392775997038, 565.1785581855364
70, 886.1292234380195, 565.1777079156104
71, 885.7217090807463, 565.1718745582982
72, 885.5914212313565, 565.1211305296266
73, 885.9749852354545, 565.064090640502
74, 886.1377100290986, 564.9620187827173
75, 885.9336423180755, 564.9283069811369
76, 885.7189594033324, 564.8697481885368
77, 885.099330995141, 564.8706413827291
78, 884.6906415414119, 564.9144609239366
79, 884.7580002557663, 564.780912235805
80, 885.3391856566525, 564.5601793418723
81, 885.1176771234583, 564.5161672521521
82, 885.6668693525102, 564.2846190293992
83, 886.0380238759678, 564.1229681861774
84, 886.1453932365484, 564.0247235593542
85, 886.9085138192104, 563.7943555711402
86, 886.9874153383316, 563.7146620227445
87, 887.0520025362634, 563.6437300177896
88, 887.1122392378513, 563.5664911490067
89, 887.1713045803409, 563.5032583990946
90, 887.2197527739168, 563.4312029567477
91, 887.8766525637719, 563.2481874035251
92, 888.0623002375264, 563.1301612702024
93, 887.8041742990708, 563.0936071030957
94, 887.9416973590851, 562.9861028492451
95, 887.668597459332, 562.9319903965845
96, 887.2203923260182, 562.9310081320853
97, 886.9565984921763, 562.8735145887948
98, 886.6926695398018, 562.8146982426473
99, 886.9278930436743, 562.6983713899467
100, 885.4161509906544, 562.207282851724
101, 885.9487425428554, 561.9912601477871
102, 886.5221056997883, 561.6356703428975
103, 885.8735215869226, 560.8691952241116
104, 886.3810827827123, 560.5511764447032
105, 887.2385667924588, 560.2010018931314
106, 889.059369366772, 559.2761822673344
107, 889.059369366772, 559.2761822673344
108, 889.059369366772, 559.2761822673344
109, 889.059369366772, 559.2761822673344
110, 889.059369366772, 559.2761822673344
111, 889.059369366772, 559.2761822673344
112, 889.059369366772, 559.2761822673344
113, 889.059369366772, 559.2761822673344
114, 889.059369366772, 559.2761822673344
115, 889.059369366772, 559.2761822673344
116, 889.059369366772, 559.2761822673344
117, 889.059369366772, 559.2761822673344
118, 889.059369366772, 559.2761822673344
119, 889.059369366772, 559.2761822673344
120, 889.059369366772, 559.2761822673344
121, 888.5499689618879, 559.5608704991165
122, 888.5499689618879, 559.5608704991165
123, 888.5284226629822, 560.7676705141796
124, 888.7222821959947, 562.4495286768704
125, 889.0589062083851, 564.9779801059079
126, 891.0562973874228, 567.8373073596133
127, 891.3126904104638, 570.0501026784341
128, 892.851802375746, 572.4584868768727
129, 895.1247351576642, 575.2780696357169
130, 897.5073028976235, 577.969316039307
131, 902.0396167010113, 580.2332223452486
132, 903.8788408929902, 582.6116478760118
133, 907.5713458987838, 584.5799967664353
134, 908.7201711801382, 586.6944828273533
135, 910.8058560794378, 589.0316151810744
136, 911.919825927071, 591.0282252560492
137, 913.0140164099007, 592.796485911065
138, 914.982901815046, 594.9848901696023
139, 916.9870442602919, 597.0184833941682
140, 917.9540024096025, 598.8796593482163
141, 919.0969856300545, 600.909230697095
142, 920.1083628273717, 602.3815581294604
143, 921.1253453089953, 603.8285613234026
144, 921.5364257228432, 605.3343627966192
145, 923.9590666429052, 607.1705157621851
146, 926.3319019657988, 608.7528777581101
147, 926.982150727361, 610.2720684320889
148, 926.8393562565213, 611.5045516916397
149, 927.4984985082092, 612.9336823217127
150, 927.3637246680856, 614.0970349566072
151, 928.0524733676706, 615.6006645776893
152, 929.7841804982752, 617.0948675563054
153, 930.7012605487175, 618.1787865436802
